address,amount0,amount1,amount2,amount3,amount4,amount5
0x54c77142d90aB0B20a6325a05C3949f17D7D0eCe,1,1,424662056,1273986170,1,1
0xa126704e6ebA3a6Cb8A428c62F4e21Af950A3fa9,1,1,364305587,1092916761,1,1
0xE4Dc6048CcEdB09f1833829DF5151a39E6d3FE42,1,1,280435614,841306843,1,1
0x01a676c60dCf1D8B7857e967ef99A44dd2EdB372,1,1,257627020,772881062,1,1
0x45D88cD2242A636e5AFb4B65Fbc71C5b04F7C08C,1,1,202987240,608961721,1,1
0xbeC1938624595AE8d2Fb3F923dE98774E9A557bE,1,1,200936621,602809865,1,1
0xbC563d37439c87BE6c04806440346ca5f570D2c4,1,1,174931504,524794514,1,1
0x5D7926412Dd9Ba3F00A74AD9F8C5A50Bb80fc297,1,1,165834146,497502440,1,1
0xe4f124c4E9c889E34751496507407dFD1B4108A9,1,1,161135555,483406665,1,1
0x9762fc6b298fe0f6494bb1C81F99D1F4bc6FeF33,1,1,153827668,461483006,1,1
0xdd9444BCFE7DB9A8Ad8f5b1B1D63785303BBd781,1,1,125056132,375168397,1,1
0x4895726f1d462FF3eA45b1cD820Cce01bFA75bca,1,1,103235436,309706309,1,1
0xBB06a474AA0304b630D5541e1EEB9A5955741b85,1,1,98097792,294293377,1,1
0x7e19114Cd01Ab56fbEE3d2bB1791CD5f1701E736,1,1,67425697,202277091,1,1
0xFA26c6015850A393CF970ff4192776CdE859f893,1,1,65923158,197769474,1,1
0x1d58c6d5af4b9F43Ad216183B031285ccBC1cb2A,1,1,65452669,196358007,1,1
0xe9Ca31a9d07eC5707D73C58C18177613320b3dC0,1,1,60167438,180502314,1,1
0x877d8044999f2be19e6d5b019e48D9F74c6DA9Ab,1,1,56598801,169796404,1,1
0x032D28FAE89bBE412feE8e18bfd2Dbb6efFF5d21,1,1,50243751,150731253,1,1
0xA59ecA19353249D9000ad6E91278dD4a7A501f2C,1,1,49754553,149263659,1,1
0x2Ad408DF87501814A8F5432CC6099bdfa820d458,1,1,49266950,147800852,1,1
0x9b9e9e0CE6926Ecca74457Cd75696C152530b2a0,1,1,42277244,126831734,1,1
0xecDc999Ba097496953ae5F3D2b48132E59A47E17,1,1,41870782,125612348,1,1
0xd459A6Cf9fb1517A81e183Fb406c0063896060b9,1,1,40737670,122213011,1,1
0x867ffA87C30A09983c1573bF71F7925e0F94c518,1,1,38621270,115863811,1,1
0xdFcc7780A59Df7FAB93A16fBd32Bb797F6679318,1,1,36278891,108836675,1,1
0x68D23f6E8CA0cbF01bE5c6d8477147C872C9FF60,1,1,36120349,108361047,1,1
0xE5578B75055Fc6b7d0f65ad990CCbA6e0f6Ae0F6,1,1,35262554,105787662,1,1
0xA28C928c7c9fea1FaAF1f5AeD5a6e6241C5ea3B3,1,1,34289798,102869394,1,1
0xde80231889FC8105D64937cf724c6995fAD75E3A,1,1,33953556,101860668,1,1
0x63b9740184010A5E33FB7C86832b131B00509772,1,1,33334255,100002766,1,1
0x0532315C8f7c6724274b2cA720b347a9520bB1bb,1,1,30551235,91653705,1,1
0x34c2d61758dDeC15B48265B29b42830496c101a4,1,1,30087451,90262354,1,1
0x50EC5Fd603D304198EDb9C5e4CBDa029C79068E7,1,1,29927342,89782027,1,1
0x7EA11731aC8153818F9f1f138Cf0d64fAd37C1d6,1,1,29750732,89252197,1,1
0xBC25bC3e6f4af35A98d461BB7CD62772B8be9d73,1,1,28754611,86263833,1,1
0x7F8bDB9c2D7f2f256a7033241eF510EB029Db0c5,1,1,27929848,83789544,1,1
0xc14DB0Bb6024510E3025f49A2268a7ac6ba4e824,1,1,27309523,81928569,1,1
0x8aA704d8A29529C1221070Cf85a8483F15a9b110,1,1,27304171,81912515,1,1
0x2332bC7bF4F808F9e2718f4E56470DE00E164c1d,1,1,26631246,79893739,1,1
0x425C0C0eA3b31c912Fce5da3648BDA70516792DE,1,1,26543512,79630537,1,1
0x10C22e009Db0deae6f726E30aeFeC1Fb8229D4FC,1,1,25154421,75463265,1,1
0x9BF770E8cB4135Ba08042DffB93D3aB3D73Fe3FC,1,1,24358829,73076487,1,1
0x00e8Eb34E1C7A35fB9A6b0928C48EB847377b65F,1,1,22908719,68726159,1,1
0x932e64826c6158Ab47015eFF5295c7758cf86898,1,1,21118895,63356685,1,1
0x64171b7B49fc9ca487b658bdc33B3c476e5d8541,1,1,20784943,62354829,1,1
0x568Bb814D39Bb7e8aCb46929AF924067FC7E6b48,1,1,20237552,60712656,1,1
0xa010F5a6488CAca10369213512dDbeBC873B55fE,1,1,18911370,56734110,1,1
0xaCf47739535808B5c99B54478c2284795f2bf3E3,1,1,18771253,56313760,1,1
0x8C9D5fC51F073a08E87CC7979cE5942c68E49451,1,1,16877258,50631775,1,1
0xb93eae9CAb14eD19589f68709b8dfFcC8764f520,1,1,15469623,46408871,1,1
0x1872222c66f295545ef1F2Ed71371C327258b305,1,1,13960555,41881667,1,1
0xAAE9fa8c4E2B56f5aD6E4B0edb1841b380AB9C31,1,1,13821057,41463172,1,1
0x26cAd1fC3f1577FBb8AB74f16b4E25D279300AC0,1,1,13815529,41446589,1,1
0x1BcC3204865146EfEd1e92c5276137dD1f53E9cf,1,1,13801418,41404255,1,1
0x126e9d8869d396E0236DcDd6CB8C2DC76c8ed0AD,1,1,13103196,39309590,1,1
0xf8A7C40107fEEc483cfc31012064d995bBfAf15F,1,1,12773872,38321616,1,1
0x417dC3261BF43e94d1889e23eEa28F52529479C2,1,1,12746438,38239315,1,1
0xF170cA4C73CB34d81D2A07281535F4f1a7CE2bE0,1,1,12672374,38017122,1,1
0xC6489de53902a7355c145100C615E18F57Ca0cc1,1,1,12592269,37776809,1,1
0x96ef564Dea7e95Fd5DFb7fC1509CA9B9Bd55334f,1,1,12553504,37660512,1,1
0xcF64b7A6dA14E77002716Ef81EE0C46aca88A767,1,1,12513001,37539004,1,1
0x3094e394524C22aaBFC2ada5F5805537711A0AEF,1,1,12147000,36441002,1,1
0x23765c2c13279Ec56D9C0bbA7f50c3fCbEC216f0,1,1,11799526,35398579,1,1
0x96F216Af2c46Df8e567C3F21f78b019D3633F136,1,1,11417783,34253351,1,1
0xB8642fD3Ac2f2bFEb1b9580b6BE6F5BB136E71F6,1,1,11380566,34141698,1,1
0xF878aA05Df33650635755Df67423d9ce1c376B32,1,1,11317228,33951684,1,1
0x4eF9A651F8656DEf8454178406eEae16FB7Ca458,1,1,11141601,33424803,1,1
0x68823Ac9e61B9b3b66167e532F666B7DaF6DaAf8,1,1,11017191,33051573,1,1
0x40571e9e69CaEb5b1920252C2dCBd29b347dc3Ae,1,1,10642536,31927609,1,1
0xaD75a4Cb5d5727870c88709d79bEafC216f58f48,1,1,10533886,31601658,1,1
0x30e459FbDBBe4570B5Ce693A97616B60C6F5DC33,1,1,10160444,30481332,1,1
0xFE46Ab96D31078c7F831Af25Ab6466C5e0f26dcC,1,1,10017613,30052841,1,1
0xC509B020E298A994302CfEcCc9C10C356237CdcC,1,1,9990898,29972696,1,1
0x746a95a9Ba1521c5F2Bc64034279968EA9113c9e,1,1,6631958,19895876,1,1
0x5839A2951e6d8DF3547566cB20985cFaa05C29E3,1,1,6498170,19494512,1,1
0x674fF27439FBfAcFF885A23bBcA095816903e2EC,1,1,6371777,19115331,1,1
0xC37e0dfE76d3a9261b570e97dD44979442BE8daD,1,1,6292131,18876395,1,1
0x1f68aEEcefB9cD6EC6931E6d8593f2f48f83A1FD,1,1,6288870,18866611,1,1
0x10FE546ba7295a29B118481C38500F5Ac24E1192,1,1,6284290,18852870,1,1
0x31ce22996e0061b6C56F897E5ab2fDCf3eC2c2b0,1,1,6152857,18458571,1,1
0xaA6058ef4EDC3daFB2D8712e3C1A687cC72F9Fb7,1,1,5983505,17950517,1,1
0x63cb47c76d1eBE40cb8985F59fb785fc378D5499,1,1,5797029,17391089,1,1
0x0D3b294FC4bBaDB2665e51fCf8f5FE20F20CEf83,1,1,5513352,16540056,1,1
0x713a6635344fC44cEA0b9DB30933Db78F57bdBC3,1,1,5362243,16086729,1,1
0xCe74A760B754F7717e7a62e389D4B153AA753E0e,1,1,5243507,15730522,1,1
