address,amount0,amount1,amount2,amount3,amount4,amount5
0x2AAF8D96abe787AcC9A0308491bC955cD50Ed8f4,1,1,2411136909,7233410729,1,1
0xd4f2c8F289D5907b2644BAa0D929615B200D5D18,1,1,1162311660,3486934981,1,1
0xf887BD34D36c60b76D461b064C1fE247206F275B,1,1,1076810046,3230430140,1,1
0x2D614792569CbC019C4168a87DC2F864ee0810bd,1,1,957773725,2873321175,1,1
0x750f53f8Eb3024Bd63913480a0b47F3E33Fefbaf,1,1,888598529,2665795587,1,1
0x0df40E187f8F85A23058576264777cD1383aa0C9,1,1,678716963,2036150891,1,1
0xb3bdd24B9ed083D4133BF408B501212637945FBE,1,1,626490441,1879471324,1,1
0x7b0614920fc139a11DaFA7dA457C1f7e131bCb7F,1,1,432178225,1296534676,1,1
0x80CaEc1261578F3e482eB404eB46aBBddC4e59E6,1,1,201790236,605370710,1,1
0x8466f7A63005EC326D19998fC9631aE6a2AAF001,1,1,171881391,515644173,1,1
0x6cb77f0071EE784d5C4CD1B487fa3959Ac2ca422,1,1,169427630,508282891,1,1
0x7c6aC6D111C47e14bd9be96ab4B316dA1bc0f7DA,1,1,136677777,410033332,1,1
0xf2d5301d2e54CCBaEaF5d8fB158Db1f282484D9C,1,1,119788562,359365687,1,1
0xaea90572ACd703FA8D6B72C2C2AfBc83eD0e7272,1,1,116973699,350921098,1,1
0x971E36d18C04a79A1F7BD1a2b83BB6ba3B8604bF,1,1,104928537,314785613,1,1
0xCd824Aae0915e6DdFFC2753EE7bAed88E348581d,1,1,104148627,312445883,1,1
0x6290B0ba9E89B76763e7431D49Ae2C57cA9457C6,1,1,103277881,309833645,1,1
0x07a705287df8BF1b39Dd9Cd18B2f77C724735728,1,1,101646917,304940753,1,1
0xf7C9E71009656889B2bce250D47ef941Cccb8B10,1,1,94313452,282940356,1,1
0xab15033649dF6Fe91c2C59293E5Ae4e6c2E75DD8,1,1,91691323,275073970,1,1
0x8AB7Ef89d6e59799EEa0f9Bd6ff69e425F7c4e29,1,1,82473811,247421435,1,1
0x9D9Fd43a3365A0499284D37051Ea2ae3bCC1dA60,1,1,78588490,235765472,1,1
0x74eDD3eC190A67c7e1Aed7E60b898169f541Df73,1,1,75703408,227110224,1,1
0x5Fb3a28fD78B9aad01Fe699323c43BbE8AbA1A06,1,1,65171682,195515047,1,1
0x4587433C98779263d5780945B8c7F0c66d6C5378,1,1,60224647,180673943,1,1
0x99B7bd917e6Db523F898B0ECcf4bACEA853e0F8b,1,1,57921323,173763971,1,1
0x3d035AAafF33efF6BC5Ca8fb88309a6855257170,1,1,53750319,161250958,1,1
0xAC75CEE7ff90Aca384f50b748753bF8A515cAb94,1,1,52090738,156272216,1,1
0xB056407dc4309A0e5b80926cb01848B073214350,1,1,47681463,143044391,1,1
0xF233CCB7960aaf379d19189AB403b1b4Ab8bfCc1,1,1,47218698,141656095,1,1
0xCd4EF8cd33A4EF7A59B368E1a72249B5eb5C4eCe,1,1,45373210,136119631,1,1
0xa8eC4BD211Eb264244f49D1Da88C032F8B1C0E0C,1,1,43758084,131274253,1,1
0xD35c66f783B1fE16FcA78fB87109ca14bc5Dd109,1,1,41902289,125706869,1,1
0xBF13215F5267441581E0811C09dCd5786370EC19,1,1,40909082,122727247,1,1
0x63B4B9081E9EfF9498421998913702c350F0a09C,1,1,40841723,122525169,1,1
0x6d16E00CD72b8999De434490E2feaff31576f1Aa,1,1,38903746,116711239,1,1
0x8190f8da34f0a8fB72FcFA67C7C9FD9550FaA644,1,1,34854649,104563949,1,1
0x5CA18142b3Aa0E4e580ec939fe3761af37395262,1,1,34076647,102229942,1,1
0xdd4AE4FcB7370be2365f397De071ce3e54c78521,1,1,33836134,101508402,1,1
0xa26E271698e1c48aeA47B40E653a79A726f7E6F8,1,1,32011058,96033174,1,1
0x26085e33fc513cDdb25A86117C39163a662eC729,1,1,30097347,90292041,1,1
0x4A9589964cD00664068F298aBcBd4db112df481c,1,1,29063612,87190838,1,1
0x084B054D240B5dF481088064c30f29f7D9e160bc,1,1,28243714,84731143,1,1
0xD654e2513A77bcE32a7eE6737Dd93ef0305faAC8,1,1,28228784,84686352,1,1
0xABcAe081dc0D143AeFe3fEF2EFB70Dc756b64007,1,1,27444912,82334737,1,1
0x28faEcc3aFeb5849285aCe14f42D2b936e7c8b8e,1,1,23259290,69777871,1,1
0x99d1632A38A72b28D1d139304987Ce5ac7A93627,1,1,21862034,65586103,1,1
0x5b2c26901EAD191baF5f89b5e48595AA51Cd0378,1,1,20503226,61509680,1,1
0xAa8eC9A3dc3b6D5770FF061c98b926Ec627795d1,1,1,20393316,61179949,1,1
0x2621DC7299D905b115958564742A62F8475da003,1,1,20250621,60751864,1,1
0x961d86B671787005221deD0f47dd2954B2d3A68E,1,1,19074540,57223620,1,1
0xABD1eaD4c68C4ADc0Fb530D7d969a8eCA2CDE308,1,1,18839083,56517250,1,1
0x6218a5012d5AF93D5eF36d52b661DFc02E2cC23A,1,1,18762046,56286138,1,1
0xD54F610d744b64393386a354cf1ADD944cBD42c9,1,1,17922342,53767026,1,1
0xE778F357c95Ae7D7e8792755DbaFe1F384e5809b,1,1,17196292,51588877,1,1
0x161Ec2324E9Db44d00E78294f0cfA1a9Ca244604,1,1,16901389,50704167,1,1
0x96ef564Dea7e95Fd5DFb7fC1509CA9B9Bd55334f,1,1,15906573,47719719,1,1
0xCAa31BCf8BC4218860819cB062340f3dC8d3bb29,1,1,15850995,47552985,1,1
0xaF31B4D4893290E1112B8B28D13492BA283AabdE,1,1,15839833,47519500,1,1
0xB606CB91b1260EF6f57D313442Fdc5DB5AC5D7f3,1,1,15773699,47321097,1,1
0x63A0F6E4ed15eaC652f01ea18714420b96Ff8097,1,1,14945951,44837854,1,1
0x000823dB10fdbd0693D22Eb30AC919503f7DB765,1,1,14920313,44760940,1,1
0x23C044F1Cb5C4Eb4Bf3818ea8CE6c3b6fAECbAed,1,1,14432587,43297762,1,1
