address,amount0,amount1,amount2,amount3,amount4,amount5
0x7F09a4CF9B38Dc19C1f10A3965Fdc5687175E28c,1,1,15403039451,46209118354,1,1
0xa86059823717fe4cc998699044b66be2e4dc67c5,1,1,1259812177,3779436532,1,1
0xa263d382c6ed6a2f7af33e8afb1923d0025fdfa0,1,1,605236456,1815709369,1,1
0x1f67aab1c90a356861815b244ffe4812d0297ab8,1,1,601998242,1805994728,1,1
0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,1,1,529265984,1587797953,1,1
0x3f5f6350b598a6031e6f6a6b028727bebee16915,1,1,514237395,1542712187,1,1
0x2852970031ed4d9eeb879e423d1fe24305b57e0c,1,1,503169032,1509507098,1,1
0x9fe1e2f4e3a068d243f042ccfab3f08832ee5398,1,1,462515032,1387545097,1,1
0xD120723f9182Af7621580880Fe5D0263B0ec6340,1,1,439052593,1317157780,1,1
0xc662f758476dcf1a77ce61f04ab937b2638d0ab2,1,1,378747791,1136243375,1,1
0xca4ad39f872e89ef23eabd5716363fc22513e147,1,1,373568773,1120706321,1,1
0xeba5dbb930fe06c865f3ad1fa572bf12619619ef,1,1,286978715,860936146,1,1
0xacc201f84425f49e90dd7138c6ea598870e0bfe0,1,1,267319262,801957788,1,1
0x70c9666b338795ddab8f4bd67f580b1d9234b8dc,1,1,258830526,776491580,1,1
0xcfae084c26582c38c2e9bfb92da7d54f842a7a5f,1,1,207225985,621677957,1,1
0x26a5ce5620527599c143157954104e5bdfe5812f,1,1,194154999,582464997,1,1
0xd7f5c90dce1f8c988aa03ab235a359ad29b6e306,1,1,186651446,559954340,1,1
0x37da9f53bb706b0ce36b623c50f4d21895c48d80,1,1,174724323,524172970,1,1
0xd0e7efe34e052e9a9fc14b78b62cf1d0cfc1bafb,1,1,169670127,509010383,1,1
0xc81f7b9bbd22a92a1e8c6512ff18e7606c0d097d,1,1,155112951,465338853,1,1
0x4b54b4c8d27a56affe14335a5eb1df6d638d36a0,1,1,140887327,422661981,1,1
0x91083f0113f09af090fdf994785ab87053fca571,1,1,139042990,417128972,1,1
0xb0042fd95b647bdccfc177ad383750959bae67c3,1,1,124325643,372976929,1,1
0x3b1b211b3fce0d1ee9f5e1afeecadeb98378d0b0,1,1,115506098,346518294,1,1
0xe452df3234a6ca4beb250fa5e7422397beacd08e,1,1,110424294,331272883,1,1
0xcd1420e9d1b628dd11cb143e1e63aaf1414f0c10,1,1,109649841,328949525,1,1
0x0494f503912c101bfd76b88e4f5d8a33de284d1a,1,1,106995113,320985341,1,1
0xcbebef2dbafec16529277be933d60cb0524ade9a,1,1,103683790,311051370,1,1
0x01a719a37c75f63968c0e597318914fb3210608f,1,1,100476298,301428896,1,1
0x562ced712267dcb02b009b05734c096a73536b44,1,1,99104770,297314312,1,1
0x08ff49f310117935f566a38bce20b25d5f4166e8,1,1,94526817,283580451,1,1
0x8c4332ecf4595e19bb3680f1fa4c65f283af872a,1,1,85831085,257493256,1,1
0x8be5ed51630bde23200b05a69d5f2db431669ba0,1,1,79694307,239082921,1,1
0x6963bd7fa7085b2ab14e42c9edd12a82c164e90b,1,1,74653678,223961034,1,1
0xf4dcc8993d097093303e3e50d7a27e36fb1a6eb5,1,1,73336530,220009591,1,1
0x7a8eb068b008137ad2c4f3a852c55ebce132f85d,1,1,67672870,203018611,1,1
0x51c93cfb6aff13ef8dfa6de3637d29fff5734189,1,1,63900264,191700792,1,1
0x9d7a27ee6fd7875aa72d39b4f413ebe1618748d7,1,1,58306817,174920452,1,1
0xb71b7e4098cd449da78d6a0877db2ecb661f31ff,1,1,55557835,166673507,1,1
0xc4875695349513b713a53aea9a6e2750dc23e3e8,1,1,48937787,146813361,1,1
0x6cbc124e6cc101d082340f7a1381e5cf1a9f55a8,1,1,45320611,135961834,1,1
0xbfca87c666b038a410c943c044a7867f569544cd,1,1,44121047,132363143,1,1
0x13fb07c0e9b5d63ec38ae1fa9221c3c911193646,1,1,43413287,130239861,1,1
0x4838425b186e8db85971a5a40f1a5c172c2eb2a1,1,1,43336932,130010797,1,1
0x9a21317f90cdb5f3a25d42d88765dea54e753a30,1,1,37168447,111505342,1,1
0xeaad53c1d291300be345b68d0e7a9e5fa7f1ac1a,1,1,35705463,107116390,1,1
0x30504ef846449663ba068ec6fac47786e898a3c4,1,1,31295699,93887098,1,1
0xc41b7181d9086cb5aeea0fe220112a62306c0e34,1,1,29204760,87614280,1,1
0xc32de03e195fa0e2e59338968c37d53b7a151c98,1,1,28474871,85424615,1,1
0x9f28C52C15a40449003343760Df9b905Eeaf64c5,1,1,28113964,84341892,1,1
0xf14dd1fc6007bda344806b449a8f52a62f285174,1,1,26830976,80492928,1,1
0xF99A24E6f7E94DE42E4f396f800edDaDa906FC18,1,1,26554868,79664605,1,1
0x47d574e85df71a059ec442cad8dee2224f58b0d8,1,1,25946183,77838549,1,1
0x26efd12c742a221aac37ca99dc16d27898e8ce12,1,1,25402232,76206698,1,1
0x3A4FE28147c80a2c2ed6770533A72436940c7Fd3,1,1,23181523,69544569,1,1
0x464a249ebf9a951e61e2ebec60126d2a20387a35,1,1,20757268,62271806,1,1
0x642c16c6d2c02cba018a14c426ac1a3efca92548,1,1,20649957,61949872,1,1
0xef7395561d9eadd2860ead0a164d589458ed5a51,1,1,19572564,58717692,1,1
0xe8d98b8a3ea70e1c82665e36a9b06bd76e0afeb1,1,1,19022325,57066977,1,1
0x833741fb87b6d2eecd3923b405915c49c0a16b13,1,1,18975255,56925767,1,1
0x3fba71369e5e2e947ae2320274b1677de7d28120,1,1,18852028,56556086,1,1
0x3d36ea4fb9e465c11c4331a6da3d6f37751d9a04,1,1,18599726,55799178,1,1
0x0fc8c3aca0d337d01f9b740a6052736781fc6c3b,1,1,18538466,55615400,1,1
0x68772ebd1dfe2ef4947097f4e1c9cd9678489530,1,1,18526189,55578569,1,1
0xa6c2873ecaa76f5f1223c9bec5c7ac6a26e54ba7,1,1,17533066,52599198,1,1
0x4575dfe008b049aaf2081ba1b011743b69e7caa6,1,1,17264935,51794807,1,1
0x94b7a1975bcb2064a3b6f346e48e7d9028587f39,1,1,16854848,50564545,1,1
0xfcf49f25a2d1e49631d05614e2ecb45296f26258,1,1,16662549,49987647,1,1
0xe80475bbfd4039ede12a1d09481d55c80fda4a1c,1,1,16129666,48389000,1,1
0x7185688251c69dB88E1120EdFa2DA85534c0fF92,1,1,15534586,46603760,1,1
0xF728070f61656A7CCd730A4B751e42689bD2BBD4,1,1,15104235,45312705,1,1
0x6488B1A657282646f2037B90756ae4211Ba96D7E,1,1,15025043,45075129,1,1
0xbcfdfc80339ddb8060b7db74017747d53b65a7ff,1,1,14915867,44747602,1,1
0xd0e49864fa8062458884b6e5f2c030c666efa331,1,1,14788956,44366870,1,1
0xa1edb13dc6d3472306c4e132906ccb1845f8e9a4,1,1,13742819,41228457,1,1
0x1A1f0ed85eC398A9B39545215927651B97F43aA4,1,1,12979593,38938779,1,1
0x280db0f897b08e2c8d72ca09936a344f9f0fff49,1,1,11985732,35957198,1,1
0x639825f2d1935edaba16c3e6917056596cfe7603,1,1,11043670,33131010,1,1
0x514a12f916051f837e7fc692a347bccf1e30666d,1,1,10916774,32750323,1,1
0x83aec4cf2a45299efb39fda62b277c5a342a72f2,1,1,10839403,32518210,1,1
0x3992140181cde69f588410cb8192e9a492aca9d8,1,1,10769313,32307941,1,1
0xb27f6df486ef5dee2e3a4dc4f257dd63e5a5e371,1,1,9595400,28786200,1,1
0x72D488E4A6E78485F84343BDad78DA9d09D91c42,1,1,9495054,28485163,1,1
0xf5e517213e047f3d0a1ac7604ff472456a6a9065,1,1,9475316,28425949,1,1
0xddd5eff8001402ebbcf80d1eccd1b9a6f801e6aa,1,1,9379426,28138278,1,1
0x4E996A3A22c6D23d0a94A636C0DAF95581F127b7,1,1,9191261,27573784,1,1
0x3b97872f6a7068e61dc2e58b94c2118f766905ef,1,1,9042947,27128843,1,1
0x69d4fe0bf7bce0c364b6fbbb537b7dec7de1ea8e,1,1,8772551,26317653,1,1
0x74dbea2e22d9f9d7fe56a91369737e1b59667269,1,1,8706194,26118584,1,1
0xfa33014256614a552bd577917db657230232076c,1,1,8606579,25819739,1,1
0x323b5e03afcb664ccd48b5f4bf6d30135a4d7001,1,1,8545074,25635222,1,1
0x2e7d4da81791e6ec40b86c1dd937929293504009,1,1,8439883,25319650,1,1
0xa3f4b547ce894ca7236194cebdb3dcedcea91866,1,1,8439028,25317085,1,1
0x1dc1B489D1dd16402337fb1FE3c76b4c37Fa651b,1,1,8430207,25290623,1,1
0x52dF103052eDe63C11D8bf5555003582445F1203,1,1,8414789,25244369,1,1
0xf2ee49b5ef78930b7118a299d83f4a783ef4427d,1,1,7742975,23228927,1,1
0xa8977f481db08270692969f45f65156ee9e8aae8,1,1,7604533,22813600,1,1
0x8701dcDBe021FbB6806D9276Cd994C4e0e52BC55,1,1,7477956,22433868,1,1
0x06bbb8f2e61bcee87db8522ef2150ba20a972e0b,1,1,7221387,21664163,1,1
0x88cc09b0151f8f514fa69dd66c4852c0ed821fb5,1,1,7095642,21286928,1,1
0xdccc02fb1d408dd432d8a3fc87bf13660c8a599b,1,1,7016321,21048964,1,1
0xd66EDbeF7bcD4C522360b6e2FC6c698c4B0F332E,1,1,6686896,20060689,1,1
0x8d56165A586267cf7b8C54Ac56EF2B70EB87769C,1,1,6634861,19904583,1,1
0xbf59e4bfe6df774b8da819a3ed61ca0ba97b2ad3,1,1,6414092,19242278,1,1
0x5679d808f2734f8b09f26f4cb0a7fb0439dbebfb,1,1,5674940,17024822,1,1
0x9567c61f3f6acc1754daf6ee20665214229c560c,1,1,5623919,16871757,1,1
0xd29f3eb4760efde9a7fd508a564d9f9e338d1e5f,1,1,5392492,16177476,1,1
0x04F5B502274b7DebA344E003e39c4B7d0e00B914,1,1,5262930,15788791,1,1
0x7Dc60b8C0c332b1D2e3b3eE575F9909713C86386,1,1,5166328,15498986,1,1
0x402e4e550d44c3e43eac9bd037d4277b7a8bd7b7,1,1,4780954,14342864,1,1
0x92b1b677728e36734d59067a4ce53e5bf1f3a2ab,1,1,4431314,13293944,1,1
0xBa6AD70E410e585F56fFD11d8074688aF1e3626D,1,1,4372844,13118534,1,1
0x9eb5057e57e66dab3700604ab75f51a8ad5f2fed,1,1,4268349,12805047,1,1
0x47CE03aC44AF41BfdF1D6f5943BEb5c94B67E9c8,1,1,4244385,12733155,1,1
0x83ee0a917eabb9ad699277f6a74062d60b3a595e,1,1,4115634,12346902,1,1
0x02d1cb635b75f8D1BE0479116a1461452063B7ca,1,1,4043830,12131491,1,1
0x1B59dc8857eFF1a567fE66D161e4232e6b431835,1,1,3865043,11595130,1,1
0x66ecf29e1d0d627bafca80f55b7eb77e4d8947f8,1,1,3709349,11128049,1,1
0x6c1755a70b08ea923a4bf2ad0ba336c435eea444,1,1,3706030,11118092,1,1
0x8bb5e5f6799245cb129e430b5e84680933903ed3,1,1,3601495,10804487,1,1
0x486A47BbD9c3da9a884761130b1baba46D40B6DC,1,1,3382792,10148378,1,1
0xd10Ec7a22684090ab2870Aa9AB4CC5fF73bAbA86,1,1,3129728,9389186,1,1
0xE57b547F8B478fB7f2ec4fF6Fa442D2022a63576,1,1,2561351,7684055,1,1
0x586634c272dfa3894ee9b99836541dee35660f34,1,1,2559283,7677851,1,1
0xe233ae7304137844dd9a77208bcc54cf9be7af0b,1,1,2555928,7667786,1,1
0x3b8f663524658cc53aa7358e21c31ea01da2226b,1,1,2534118,7602354,1,1
0x59f7bb249c75cae668c7c734b9a3672b47e5ccd8,1,1,2529698,7589095,1,1
0xB7804b2E444c81FAc94A4FE5857A1118Ce4a82A5,1,1,2516264,7548793,1,1
0x2115E324da67FBee40c6A35563175a8CE6dD0554,1,1,2454214,7362643,1,1
0x1A6285424366e173E398238c0Cd0330F9f4b1825,1,1,2403861,7211585,1,1
0xEe37f0253ed8637Db06ee32B9abedD5C37ef5d06,1,1,2359570,7078712,1,1
0x116a45d9cd43c16d3835d09c735a69befd447866,1,1,2294401,6883204,1,1
0xf3cc61413b8f3d45d677b9b496fec0bd62c648b3,1,1,2171533,6514599,1,1
