address,amount0,amount1,amount2,amount3,amount4,amount5
0x6d90562E565640725C9d57848c1fee90DC5aDF16,1,1,1480372741,4441118225,1,1
0x8a70b9FeFd03D8C54877bc26203A87f253266FC8,1,1,1051429422,3154288268,1,1
0x2ACF58b4C80DBe20C8D2c141929b3726d2CF65Ee,1,1,765639110,2296917331,1,1
0xbC1934f548417f79ab10138B57716Fbc7C25c177,1,1,735800850,2207402550,1,1
0x96B78B95788A31846b0403936DaDaaEe89849a5B,1,1,661787717,1985363151,1,1
0xc9E64bBCf831332bA9dd1f4E2595CB31B1e038d2,1,1,632760096,1898280290,1,1
0x09d21af5A25DB0587A3193f5c32190cFb8c2c344,1,1,590648618,1771945854,1,1
0x8dc06d76A63E79C0b77633f60Bc7b9e14eD94d18,1,1,559885097,1679655293,1,1
0x7b0614920fc139a11DaFA7dA457C1f7e131bCb7F,1,1,496691093,1490073281,1,1
0x872F8fEd8cb685b660108cA36B2842eccA5a08D7,1,1,381810111,1145430334,1,1
0x8954e6894C40b0853De763765339c464e442817e,1,1,352158103,1056474311,1,1
0x2CB0f0Cd846ABA7dA7602A6fCBcB6A78Bbc73B6a,1,1,344312392,1032937177,1,1
0x67D6ea8D5cC067bD3C8c211352Ef8863257b3Af5,1,1,318423014,955269042,1,1
0x310f806e2d8CEC1d9B57B75364B3a882D3FC4016,1,1,262047922,786143767,1,1
0xDAD2c9b72e4076249d472d3142822C54F91Ce5B5,1,1,251685624,755056874,1,1
0xED80C99570b12a4AF185FCA1C68ff269c010E8c6,1,1,234292777,702878331,1,1
0x69bAb6810fa99475854bca0A3DD72aE6a0728ECE,1,1,228633898,685901694,1,1
0x2E4D0D994499593Ac7891890f712B22be42F2dE3,1,1,172515185,517545556,1,1
0x31EBc2e2986AC2F0080410301F8c952572092B76,1,1,161086810,483260432,1,1
0x7c6aC6D111C47e14bd9be96ab4B316dA1bc0f7DA,1,1,153239027,459717082,1,1
0x9d3cf9BEB8582843450a3A079CcF2ee88220b090,1,1,147901519,443704559,1,1
0x092292512443447d32bce1AB425f0786D8c1dd52,1,1,143783445,431350336,1,1
0xb648Cfb260e50aFc8751A8342D639201F3712839,1,1,137827331,413481995,1,1
0x26749B98907352cfC291B2f7CF5308158DB45A99,1,1,130642012,391926038,1,1
0x6C8BE5a3f504F3C2a5EEfdEEbf8E79a053AC3c89,1,1,128368688,385106066,1,1
0xebdD45EF72989882f1f77E261CB73c60a88612B9,1,1,120942591,362827773,1,1
0xd8276AEe59933F70C51B5A623B2d16cF71b749C4,1,1,120223199,360669599,1,1
0xFC5c62764efeE3edf55f59f8E31DE2B1c0978a0B,1,1,117169377,351508131,1,1
0x3144080A8D140EC09fa459dC25748998DE3Df245,1,1,115901199,347703599,1,1
0x1CA0632EB48f44fFF3F86eB541285831bc907810,1,1,110719520,332158562,1,1
0xB2824c284ee63cAFc79Eb6eB28114e2978d85539,1,1,108590605,325771815,1,1
0xe180627976DF065466296ad9E1e296CBba3925E7,1,1,107551078,322653235,1,1
0x829184ef256cA980e5c0835651DE228D9EAb1eEe,1,1,106251111,318753333,1,1
0xF58403149Cf3EbD990c50098575Ab977De06A10F,1,1,100971472,302914418,1,1
0x76d0dF9Dd299484D04a7bA71Ea84b3BCAFDC98ae,1,1,98418751,295256255,1,1
0xc6404f24DB2f573F07F3A60758765caad198c0c3,1,1,96374078,289122236,1,1
0xf5c9128FE63e2615bD9b70a4702Ae27011682EC7,1,1,89211247,267633743,1,1
0x80f900994D69b9012CE551543d26ebb5A8ADd14C,1,1,89172334,267517004,1,1
0x8B0F5F6307b2a872a7BBeFc02e78533d405FCa4a,1,1,86196927,258590781,1,1
0xaD8A867cb449D517bAF3be8C118Ab72f3c8461Dc,1,1,85875026,257625078,1,1
0x61b417d3e895De5E722E54033730393086D402c3,1,1,85153574,255460722,1,1
0x6c7E107Cca6E477D69b47242F399021897A6E8E5,1,1,80351336,241054008,1,1
0x750f53f8Eb3024Bd63913480a0b47F3E33Fefbaf,1,1,78413959,235241879,1,1
0xEd32F54B7e62bFfDeE01A9e0Da637301fcE40EE9,1,1,77890134,233670403,1,1
0x9Af6CB069e0CC0Cfa277b6052B83E4bC9988ff32,1,1,73624826,220874478,1,1
0x3D7EbE72E6C787434d98846516BB9ab7Fa160EbF,1,1,72927511,218782533,1,1
0x03666741e6A16bD30fA9dEDF4F3b61e187c6c6eD,1,1,71637316,214911948,1,1
0xD295BB33C6D300a14e7F2Ce7eF1F27080bd3be87,1,1,70845691,212537073,1,1
0x72faD9c1A7F23500ac53443C2A5657dBD2ab5920,1,1,70583601,211750805,1,1
0x0BbE6c27133B29CE14a1EebCeF64d693393a0247,1,1,70074670,210224012,1,1
0x56E57ED6fafD049d182fF9e4B8B0fd4083053389,1,1,69702082,209106247,1,1
0xE3C6bD783cE04733A57e9cd3711c2edE0d9C2658,1,1,69370467,208111403,1,1
0xBBA3C1fad8EFb6CAA96E09d85FD4973e12760746,1,1,59962393,179887181,1,1
0x5c5F29dA63f873Ee3028F56957b4E8798854a3d4,1,1,59467061,178401184,1,1
0x8B8492Cd2dA735E0AbA3961e83c8Fcf849679D77,1,1,58677020,176031061,1,1
0x15C9868CD8A4D9bd37dAfF79d72cCE02F1493111,1,1,58271270,174813811,1,1
0xD722eDAa6506b2a33e50cd3CDEe183f5fB07B0A6,1,1,58255958,174767875,1,1
0xD4767624E4b55898d99102f955d2A56Be6fAc85d,1,1,58091428,174274285,1,1
0x1314868ea2f89Db949a6f9f60Daa07B0E6AB95d7,1,1,57884135,173652406,1,1
0x6529301c59289982BeCcBD7453cB6616E898e175,1,1,56467064,169401192,1,1
0x46Ecf9baf1A1c740cB64f47684D98C401f97DBe2,1,1,54298540,162895621,1,1
0xAb9a01882364B4b0a119AD1b3219d93fd30Dd364,1,1,54114495,162343485,1,1
0x4721a94E99b34924A8E021B4f85E8C576828f16C,1,1,51204356,153613069,1,1
0x0e84D8e2f7665Bc254999AF90dcCc45E7439C9fd,1,1,51002444,153007332,1,1
0x3f4d70b808d1bd92E0F2A8bCCC0dd7152a1f8C7B,1,1,50238729,150716188,1,1
0x181f12EBfF7dd1526965Cdf61057FDb24f138DFF,1,1,50072616,150217848,1,1
0x69Da4052d3EdE446C83786145C8621652F18d43b,1,1,50044876,150134629,1,1
0x6CFA01dafd47cBeb6D65E31e6DEDE48413109619,1,1,49119139,147357419,1,1
0x32769564d3B279d79ED89f4868E6c9aFD2BFBec8,1,1,48081261,144243785,1,1
0xaBf0f7bD0Dc8Ce44b084B4B66b8Db97F1b9Ce419,1,1,47124842,141374526,1,1
0xEc79247466a094E1F07418032bD3d97a99A3311F,1,1,46618354,139855062,1,1
0x90B1942f42eC3344557FDA19621aC3BbfF988F47,1,1,46287110,138861330,1,1
0xCE77B65671d45e3184fE7103c5F0A4a425e95D6a,1,1,45387140,136161422,1,1
0xDd31Ff903bD520AF3D3D232089e3c7528CB3F196,1,1,44022010,132066030,1,1
0x9C43Bb5122a344375A5068Fe91854352A8b62593,1,1,43573338,130720015,1,1
0xBB43c47a57b25b8E8a77d5F81344250d8FeEec8c,1,1,43515728,130547184,1,1
0xd1C3e46d06C56E23deA6d7F8b9C3448F97fda4D4,1,1,43046728,129140185,1,1
0x52fbfC5741D70fFA9bC6FbC8A06aa3C570E4657C,1,1,42795465,128386396,1,1
0xDa5D339742caAc045B625A5dBE240162932f2C10,1,1,42300245,126900735,1,1
0x720F01DaaB0b5e159387DFF1CBFD4CBE5ce6238a,1,1,42103766,126311299,1,1
0xac4d5Cf3EA1041803b93e5899ff39d2cCc6936d3,1,1,41192564,123577694,1,1
0x99Ea0316DeFD8A749869f37d9D730C88d28A5198,1,1,40121342,120364028,1,1
0x032D28FAE89bBE412feE8e18bfd2Dbb6efFF5d21,1,1,40096599,120289799,1,1
0x5903Be9f630c865F9d3284B3C58d0d497D57d972,1,1,38276145,114828435,1,1
0x96ef564Dea7e95Fd5DFb7fC1509CA9B9Bd55334f,1,1,37392720,112178160,1,1
0x7811DF09C3415E99BEB22122123932E2Fe1Ef0b0,1,1,37387832,112163496,1,1
0x02b9a624DAE9E5643f29e6Cb20391b70cB6D68fD,1,1,36602900,109808701,1,1
0x10b2A59169C143987250A1013452EE2CF44ABa2d,1,1,36577863,109733589,1,1
0x7E96c999Ee403ab32495f26dD80815BeE4C4d982,1,1,36273128,108819385,1,1
0x387fa2703b9226E6f454E297A44F6c8803E22d8d,1,1,34480042,103440127,1,1
0xA0a5ad5eEA6fEBe364Abb8AAf89E316810c2ed08,1,1,34442071,103326214,1,1
0x0d0F1DeDE8C8F9Ca7769476e65AEc09b1e2F2a1a,1,1,34328057,102984173,1,1
0xB494a9c3C8D0c3A4e10D51b383184099b31eB5a4,1,1,34219925,102659776,1,1
0xE00dEdF33f7051F08c9EA85F1d2510bcA847D34F,1,1,34055560,102166681,1,1
0x6409706597253A07eA8cb823e59cd78908e4D249,1,1,33882070,101646211,1,1
0x5b276A858b4591B44765212635b0aB1aC8a548B9,1,1,33875229,101625689,1,1
0x36A793C65db20f7e7F5f5220aA812854f7eab919,1,1,32910980,98732940,1,1
0xa29eD649Bf632D19a0d045F5a2d85C21079dc0D6,1,1,32791574,98374722,1,1
0xa5fF4F79F8c1f818f64e5A23788EfA90d7781299,1,1,32386001,97158003,1,1
0xCA3A23489a7ef0f2bA8D6753E2823fa98ECD3D8F,1,1,32101182,96303546,1,1
0x93fD02E84Dc6911e6178B71AA46Bd0B5EB73bC12,1,1,31954183,95862551,1,1
